Scene	SceneCode	Names	SceneIds
string	string	json	json
Main	10101	["大米厂","啤酒厂","数据中心","湿地公园"]	["DaMiChangOutSide","PiJiuChangOutSide","ShuJuZhongXinOutSide","ShiDiGongYuan"]
PiJiuChangOutSide	10201	["啤酒厂外部","啤酒厂内部","大米厂","数据中心","湿地公园"]	["PiJiuChangOutSide","PiJiuChangInSide","DaMiChangOutSide","ShuJuZhongXinOutSide","ShiDiGongYuan"]
PiJiuChangInSide	10202	["啤酒厂内部","啤酒厂外部","大米厂","数据中心","湿地公园"]	["PiJiuChangInSide","PiJiuChangOutSide","DaMiChangOutSide","ShuJuZhongXinOutSide","ShiDiGongYuan"]
DaMiChangOutSide	10301	["大米厂外部","大米厂内部","啤酒厂","数据中心","湿地公园"]	["DaMiChangOutSide","DaMiChangInSide","PiJiuChangOutSide","ShuJuZhongXinOutSide","ShiDiGongYuan"]
DaMiChangInSide	10302	["大米厂内部","大米厂外部","啤酒厂","数据中心","湿地公园"]	["DaMiChangInSide","DaMiChangOutSide","PiJiuChangOutSide","ShuJuZhongXinOutSide","ShiDiGongYuan"]
ShuJuZhongXinOutSide	10401	["数据中心外部","数据中心内部","啤酒厂","大米厂","湿地公园"]	["ShuJuZhongXinOutSide","ShuJuZhongXinInSide","PiJiuChangOutSide","DaMiChangOutSide","ShiDiGongYuan"]
ShuJuZhongXinInSide	10402	["数据中心内部","数据中心外部","啤酒厂","大米厂","湿地公园"]	["ShuJuZhongXinInSide","ShuJuZhongXinOutSide","PiJiuChangOutSide","DaMiChangOutSide","ShiDiGongYuan"]
ShiDiGongYuan	10501	["湿地公园","啤酒厂","大米厂","数据中心"]	["ShiDiGongYuan","PiJiuChangOutSide","DaMiChangOutSide","ShuJuZhongXinOutSide"]
